Category,Part,Qty,Unit Price,Shipping,Total,Link
Controller Kit,Mega2560 + RAMPS 1.4 + TMC2209 Drivers + 12864 LCD,1,24,11,35,"https://www.alibaba.com/product-detail/SeekEC-CNC-3D-Printer-Kit-with_1600800203589.html"
Stepper Motors,NEMA17 Stepper Motors (1.68A, 42mm),6,3,26,42,"https://www.alibaba.com/product-detail/SUMTOR-NEMA-17-Stpper-Motor-42HS4013A4CE_62423940277.html"
Smooth Rods (8mm × 400mm),Chrome-polished precision rods,4,5.5,8,30,Sourced Locally
Nuts and Bolts,2-5mm nut and bolts,50,-,8,5,Sourced Locally
T8 Lead Screws (400mm),With brass nut,2,3,4,7,"https://robu.in/product/400mm-trapezoidal-lead-screw-8mm-thread-2mm-pitch-lead-screw-copper-nut/"
GT2 Timing Belt (5m),6mm width, reinforced,1,2,2,4,"https://www.amazon.in/Robodo-Electronics-PR60-Timing-Printer/dp/B07881N24Q"
GT2 Pulleys (20T),5mm bore + screws (4 pcs),4,1.2,2,6.8,"https://www.flipkart.com/serplex-gt2-pulley-20-teeth-5mm-bore-6mm-width-20t-timing-belt-wheel-aluminum-fitting-connector/p/itm7c58dc564cab2"
LM8UU Bearings,Polymer-coated, low noise,10,1,3,13,"https://onlineshop.goldenbearingcompany.com/product/lm8uu-8-mm-linear-motion-bearing/"
Heated Bed MK2B,214×214mm + wiring,1,14,10,24,"https://www.alibaba.com/product-detail/235x235mm-200W-24V-Silicone-Heated-Bed_1600133444717.html"
E3D V6 Hotend clone,All-metal, Volcano-ready,1,18,-,10,"https://www.amazon.in/Robodo-Electronics-PR46-J-Head-Extruder/dp/B0787KN8BC"
E3D Titan Extruder,All-metal, direct-drive,1,35,-,35,"https://robu.in/product/e3d-titan-extruder-direct-drive-1-75mm/"
Heater Cartridge (40W),12V, ceramic,1,10,1,11,"https://robu.in/product/original-prusa-hotend-heater-cartridge-e3d-24v-40w-mini/"
Thermistors (100K),—,2,1,1,3,"https://robu.in/product/original-prusa-hotend-heater-cartridge-e3d-24v-40w-mini/"
Fans (4010),Hotend and part cooling,3,2,2,8,"https://www.amazon.in/12V-4010-Cooling-Fan-Printer/dp/B09PBW1WCC"
Mechanical Endstops,Pre-wired, pack of 3,3,0.6,2,3.8,"https://robu.in/product/cnc-3d-printer-mech-endstop-switch/"
Power Supply (12V 20A),Enclosed SMPS unit,1,9,2,11,"https://ebhoot.in/shop-2/power-supply/smps/12v-20a-240watt-smps-dc-metal-power-supply-with-cooling-fan/"
Wiring & Connectors,Heatshrink, Dupont, JST, silicone wire,-,-,-,12,Sourced Locally
3D-Printed Parts,JLC3DP/3Ding custom parts,-,-,-,40,-
3D Print: CapMountForZaxis,Custom model,2,-,-,-,-
3D Print: StepMotorMountZaxis,Custom model,2,-,-,-,-
3D Print: BedMount,Custom model,2,-,-,-,-
3D Print: Toyzy Extruder Case,Custom model,1,-,-,-,-
3D Print: Smooth Rod Mount,Custom model,4,-,-,-,-
3D Print: Pulley Motor Mount Z,Custom model,2,-,-,-,-
3D Print: Stands,Custom model,2,-,-,-,-
Grand Total,,,,,,~$310
